"Set","PhageID","Host","Bacteria","StrainLabel","Count","Dilution","VolumePlated","PFU_mL","EOP","LFW","HostSpecies","Name","Year","LifeCycle","AtEmory"
1,"35E.2.1.1","Arthrobacter globiformis​","B2979","TARGET",5,7,3,1.67e+10,NA,"N","globiformis​","CherokeeRose",2024,"","Y"
1,"23E.1.1","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","Chabazite",2023,"","Y"
1,"23E.1.1","Arthrobacter globiformis​","B2979","TARGET",36,6,3,1.2e+10,NA,"N","globiformis​","Chabazite",2023,"","Y"
1,"13D.1.1","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","ShrimpNGrits",2023,"","Y"
1,"13D.1.1","Arthrobacter globiformis​","B2979","TARGET",11,5,3,3.67e+08,NA,"N","globiformis​","ShrimpNGrits",2023,"","Y"
1,"5E.1.1","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","BlackJade",2023,"","Y"
1,"5E.1.1","Arthrobacter globiformis​","B2979","TARGET",11,6,3,3.67e+09,NA,"N","globiformis​","BlackJade",2023,"","Y"
1,"1E.1.1","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","Coopy",2023,"","Y"
1,"1E.1.1","Arthrobacter globiformis​","B2979","TARGET",11,6,3,3.67e+09,NA,"N","globiformis​","Coopy",2023,"","Y"
1,"I.1E.6.2.1","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","Demasiado",2023,"Temperate","Y"
1,"I.1E.6.2.1","Arthrobacter globiformis​","B2979","TARGET",15,6,3,5e+09,NA,"N","globiformis​","Demasiado",2023,"Temperate","Y"
1,"I.1E.1.1","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","Dumortierite",2023,"","Y"
1,"I.1E.1.1","Arthrobacter globiformis​","B2979","TARGET",7,7,3,2.33e+10,NA,"N","globiformis​","Dumortierite",2023,"","Y"
1,"TrixiePhattel","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","TrixiePhattel",2024,"Lytic","N"
1,"TrixiePhattel","Arthrobacter globiformis​","B2979","TARGET",32,5,3,1.07e+09,NA,"N","globiformis​","TrixiePhattel",2024,"Lytic","N"
1,"Liebe","Arthrobacter pascens​","B1814","A",0,0,3,NA,NA,"N","pascens​","Liebe",2017,"Temperate","N"
1,"Liebe","Arthrobacter globiformis​","B2979","TARGET",8,7,3,2.67e+10,NA,"N","globiformis​","Liebe",2017,"Temperate","N"
2,"7D.1.1","Arthrobacter globiformis​","B2880","B",7,7,3,2.33e+10,1,"N","globiformis​","MossAgate",2023,"","Y"
2,"7D.1.1","Arthrobacter globiformis​","B24025","F",0,0,3,NA,NA,"N","globiformis​","MossAgate",2023,"","Y"
2,"7D.1.1","Arthrobacter oryzae​","B24478","G",0,0,3,NA,NA,"N","oryzae​","MossAgate",2023,"","Y"
2,"7D.1.1","Arthrobacter globiformis​","B2979","TARGET",7,7,3,2.33e+10,NA,"N","globiformis​","MossAgate",2023,"","Y"
2,"8E.1.1","Arthrobacter globiformis​","B2880","B",21,6,3,7e+09,0.35,"N","globiformis​","Staurolite",2023,"","Y"
2,"8E.1.1","Arthrobacter globiformis​","B24025","F",0,0,3,NA,NA,"N","globiformis​","Staurolite",2023,"","Y"
2,"8E.1.1","Arthrobacter oryzae​","B24478","G",0,0,3,NA,NA,"N","oryzae​","Staurolite",2023,"","Y"
2,"8E.1.1","Arthrobacter globiformis​","B2979","TARGET",6,7,3,2e+10,NA,"N","globiformis​","Staurolite",2023,"","Y"
2,"14D.1.1","Arthrobacter globiformis​","B2880","B",15,6,3,5e+09,0.214,"N","globiformis​","ButteryBiscuit",2023,"","Y"
2,"14D.1.1","Arthrobacter globiformis​","B24025","F",0,0,3,NA,NA,"N","globiformis​","ButteryBiscuit",2023,"","Y"
2,"14D.1.1","Arthrobacter oryzae​","B24478","G",0,0,3,NA,NA,"N","oryzae​","ButteryBiscuit",2023,"","Y"
2,"14D.1.1","Arthrobacter globiformis​","B2979","TARGET",7,7,3,2.33e+10,NA,"N","globiformis​","ButteryBiscuit",2023,"","Y"
2,"I.1E.1.1","Arthrobacter globiformis​","B2880","B",12,4,3,4e+07,0.01,"N","globiformis​","Dumortierite",2023,"","Y"
2,"I.1E.1.1","Arthrobacter globiformis​","B24025","F",0,0,3,NA,NA,"N","globiformis​","Dumortierite",2023,"","Y"
2,"I.1E.1.1","Arthrobacter oryzae​","B24478","G",0,0,3,NA,NA,"N","oryzae​","Dumortierite",2023,"","Y"
2,"I.1E.1.1","Arthrobacter globiformis​","B2979","TARGET",12,6,3,4e+09,NA,"N","globiformis​","Dumortierite",2023,"","Y"
2,"I.1E.6.2.1","Arthrobacter globiformis​","B2880","B",16,5,3,5.33e+08,0.145,"N","globiformis​","Demasiado",2023,"Temperate","Y"
2,"I.1E.6.2.1","Arthrobacter globiformis​","B24025","F",0,0,3,NA,NA,"N","globiformis​","Demasiado",2023,"Temperate","Y"
2,"I.1E.6.2.1","Arthrobacter oryzae​","B24478","G",0,0,3,NA,NA,"N","oryzae​","Demasiado",2023,"Temperate","Y"
2,"I.1E.6.2.1","Arthrobacter globiformis​","B2979","TARGET",11,6,3,3.67e+09,NA,"N","globiformis​","Demasiado",2023,"Temperate","Y"
2,"35E.1.1.1","Arthrobacter globiformis​","B2880","B",6,5,3,2e+08,0.04,"N","globiformis​","EpicSnackTime",2024,"Temperate","Y"
2,"35E.1.1.1","Arthrobacter globiformis​","B24025","F",10,6,3,3.33e+09,0.667,"N","globiformis​","EpicSnackTime",2024,"Temperate","Y"
2,"35E.1.1.1","Arthrobacter oryzae​","B24478","G",0,0,3,NA,NA,"N","oryzae​","EpicSnackTime",2024,"Temperate","Y"
2,"35E.1.1.1","Arthrobacter globiformis​","B2979","TARGET",15,6,3,5e+09,NA,"N","globiformis​","EpicSnackTime",2024,"Temperate","Y"
2,"31D.1.2.1.1","Arthrobacter globiformis​","B2880","B",10,3,3,3330000,0.00025,"N","globiformis​","FireStar",2024,"Lytic","Y"
2,"31D.1.2.1.1","Arthrobacter globiformis​","B24025","F",0,0,3,NA,NA,"N","globiformis​","FireStar",2024,"Lytic","Y"
2,"31D.1.2.1.1","Arthrobacter oryzae​","B24478","G",13,4,3,43300000,NA,"N","oryzae​","FireStar",2024,"Lytic","Y"
2,"31D.1.2.1.1","Arthrobacter globiformis​","B2979","TARGET",4,7,3,1.33e+10,NA,"N","globiformis​","FireStar",2024,"Lytic","Y"
2,"33E.2.1.1","Arthrobacter globiformis​","B2880","B",10,5,3,3.33e+08,0.0333,"N","globiformis​","Atlantica",2024,"Temperate","Y"
2,"33E.2.1.1","Arthrobacter globiformis​","B24025","F",4,7,3,1.33e+10,1.33,"N","globiformis​","Atlantica",2024,"Temperate","Y"
2,"33E.2.1.1","Arthrobacter oryzae​","B24478","G",1,1,3,3330,3.33e-07,"N","oryzae​","Atlantica",2024,"Temperate","Y"
2,"33E.2.1.1","Arthrobacter globiformis​","B2979","TARGET",3,7,3,1e+10,NA,"N","globiformis​","Atlantica",2024,"Temperate","Y"
2,"30E.2.2.1","Arthrobacter globiformis​","B2880","B",31,6,3,1.03e+10,0.344,"N","globiformis​","EyeOfDooley",2024,"Lytic","Y"
